"N_gen","Herit_African","Sex_ratio_African","N_mut_African","N_sub_African","Theta_African","Het_African","Herit_European","Sex_ratio_European","N_mut_European","N_sub_European","Theta_European","Het_European","Herit_Asian","Sex_ratio_Asian","N_mut_Asian","N_sub_Asian","Theta_Asian","Het_Asian","mr","ms"
105100,0.244408,0.513818,5648,690,0.520531,0.360194,0.173829,0.518879,7933,741,0.675863,0.275739,0.179791,0.520224,10116,750,0.84011,0.255631,2,1
105100,0.232462,0.524872,5660,715,0.521637,0.339056,0.183073,0.526817,8064,762,0.687023,0.23993,0.162517,0.524782,10053,770,0.834878,0.23046,2,1
105100,0.23904,0.520381,5651,741,0.520808,0.362207,0.169206,0.521525,7991,787,0.680804,0.2669,0.176075,0.522408,9913,794,0.823251,0.258527,2,1
105100,0.239793,0.526461,5559,741,0.512329,0.344074,0.180533,0.525395,8006,799,0.682082,0.244553,0.175885,0.525223,9911,799,0.823085,0.237322,2,1
105100,0.224368,0.523559,5701,747,0.525416,0.354351,0.172112,0.524996,7989,808,0.680634,0.268455,0.181921,0.519153,10116,821,0.84011,0.249016,2,1
105100,0.22846,0.522109,5636,720,0.519425,0.355474,0.18713,0.518708,7932,768,0.675777,0.267885,0.162509,0.526294,9806,777,0.814365,0.246376,2,1
105100,0.224591,0.527981,5643,712,0.52007,0.355374,0.154358,0.527387,7779,777,0.662742,0.251977,0.151025,0.519447,9991,781,0.829729,0.239527,2,1
105100,0.219788,0.522178,5589,744,0.515094,0.328688,0.169037,0.532821,8007,785,0.682167,0.253028,0.15701,0.522996,10029,788,0.832885,0.221297,2,1
105100,0.219489,0.514647,5648,754,0.520531,0.349636,0.180541,0.527728,8131,805,0.692731,0.265433,0.16534,0.52789,9938,822,0.825327,0.245726,2,1
105100,0.238549,0.529847,5562,677,0.512605,0.350412,0.183439,0.516546,8062,733,0.686853,0.253678,0.167771,0.519447,10038,748,0.833632,0.234352,2,1
105100,0.491901,0.532127,5736,685,0.528641,0.357254,0.425118,0.525452,7911,742,0.673988,0.258561,0.435536,0.530725,10055,746,0.835044,0.240578,2,2
105100,0.490832,0.521003,5564,749,0.51279,0.354615,0.406639,0.524314,7956,801,0.677822,0.25596,0.397284,0.518733,10028,813,0.832802,0.236677,2,2
105100,0.525634,0.52204,5596,756,0.515739,0.361058,0.463715,0.535268,7968,812,0.678844,0.268615,0.45148,0.523332,10029,817,0.832885,0.250195,2,2
105100,0.48925,0.522592,5626,731,0.518504,0.345064,0.441047,0.526817,7934,776,0.675948,0.262805,0.41335,0.526525,9986,791,0.829314,0.24922,2,2
105100,0.486515,0.541177,5522,699,0.508919,0.342903,0.412568,0.528923,7915,748,0.674329,0.247124,0.399158,0.526378,9772,760,0.811542,0.229043,2,2
105100,0.48883,0.519621,5611,752,0.517121,0.326287,0.416798,0.519533,7893,806,0.672455,0.241752,0.381145,0.518145,10071,814,0.836373,0.226444,2,2
105100,0.490096,0.527083,5562,752,0.512605,0.338615,0.40323,0.526761,7887,821,0.671944,0.255459,0.394531,0.523038,9958,837,0.826988,0.248439,2,2
105100,0.518594,0.515269,5730,766,0.528088,0.367336,0.413903,0.524996,7997,837,0.681315,0.263931,0.429789,0.524845,10137,846,0.841854,0.246208,2,2
105100,0.486437,0.518378,5613,738,0.517306,0.354777,0.414471,0.514867,8051,782,0.685916,0.253045,0.417075,0.531187,9943,783,0.825743,0.249761,2,2
105100,0.486765,0.520589,5643,770,0.52007,0.3579,0.441476,0.533931,7999,827,0.681486,0.267051,0.437261,0.523711,9825,836,0.815943,0.255819,2,2
105100,0.483757,0.519207,5748,667,0.529747,0.364225,0.429029,0.523915,8030,722,0.684127,0.259578,0.422302,0.525286,9733,738,0.808303,0.239465,2,2
105100,0.493055,0.522178,5728,752,0.527904,0.340143,0.459698,0.526248,8037,802,0.684723,0.254198,0.422018,0.523795,10124,804,0.840774,0.246493,2,2
105100,0.495206,0.528534,5653,747,0.520992,0.345732,0.407013,0.524598,7943,807,0.676715,0.241973,0.40376,0.528562,9942,813,0.82566,0.233076,2,2
105100,0.51645,0.51596,5722,752,0.527351,0.35043,0.455936,0.527159,7962,795,0.678333,0.25384,0.447281,0.525979,9953,811,0.826573,0.248072,2,2
105100,0.481712,0.524043,5715,745,0.526706,0.356741,0.436478,0.524996,7967,786,0.678759,0.274632,0.43301,0.526294,10056,800,0.835127,0.259737,2,2
105100,0.527446,0.52273,5635,748,0.519333,0.35212,0.451914,0.529321,7941,806,0.676544,0.26261,0.442077,0.520098,9989,817,0.829563,0.245627,2,2
105100,0.477498,0.518585,5540,711,0.510578,0.343528,0.420707,0.523517,7990,759,0.680719,0.257492,0.400898,0.52348,9979,769,0.828732,0.237249,2,2
105100,0.493276,0.524803,5710,732,0.526245,0.361793,0.437627,0.523431,7987,797,0.680463,0.268516,0.437784,0.519972,10115,812,0.840027,0.259607,2,2
105100,0.49204,0.536756,5457,694,0.502928,0.332185,0.445012,0.529435,7786,735,0.663339,0.250067,0.438051,0.528079,9960,746,0.827154,0.236526,2,2
105100,0.468535,0.528465,5673,671,0.522835,0.343893,0.408306,0.529919,7748,715,0.660101,0.249053,0.419385,0.532006,9975,719,0.8284,0.2359,2,2
105100,0.49324,0.518654,5534,688,0.510025,0.349769,0.441216,0.52181,7869,732,0.67041,0.243225,0.414402,0.523206,10148,747,0.842767,0.242506,2,2
105100,0.503073,0.535167,5566,702,0.512974,0.346772,0.424072,0.528525,7857,767,0.669388,0.256918,0.395469,0.523522,9972,768,0.828151,0.23385,2,2
105100,0.496592,0.526185,5484,725,0.505417,0.347788,0.430683,0.523517,8109,791,0.690857,0.254974,0.423388,0.524488,10123,800,0.840691,0.241989,2,2
105100,0.504707,0.519621,5665,740,0.522098,0.362495,0.427778,0.519476,7915,792,0.674329,0.257929,0.422862,0.530137,10013,802,0.831556,0.248554,2,2
105100,0.483099,0.528948,5616,692,0.517582,0.367529,0.464915,0.520501,7870,735,0.670495,0.270915,0.465986,0.516927,10150,740,0.842934,0.26183,2,2
105100,0.486113,0.521141,5439,750,0.501269,0.340449,0.403756,0.521212,7962,799,0.678333,0.255736,0.386282,0.521316,9992,809,0.829812,0.234993,2,2
105100,0.485168,0.52577,5587,723,0.514909,0.337918,0.445774,0.525992,7878,776,0.671177,0.255762,0.416892,0.527638,10032,784,0.833134,0.241576,2,2
105100,0.47855,0.524112,5606,706,0.51666,0.328074,0.419962,0.52972,7809,762,0.665298,0.243276,0.411555,0.529549,9796,769,0.813535,0.232724,2,2
105100,0.472953,0.518309,5629,729,0.51878,0.346977,0.424316,0.528041,7910,785,0.673903,0.250983,0.437071,0.524194,10034,798,0.8333,0.235229,2,2
105100,0.50141,0.525839,5538,727,0.510393,0.344255,0.429865,0.527927,7739,774,0.659334,0.25887,0.424393,0.52579,9988,786,0.82948,0.24205,2,2
105100,0.705762,0.522869,5562,744,0.512605,0.347683,0.67168,0.526248,7839,807,0.667854,0.248585,0.67516,0.530725,9942,811,0.82566,0.236921,2,4
105100,0.713616,0.518309,5615,719,0.51749,0.349665,0.67824,0.524513,8152,770,0.694521,0.266847,0.663538,0.528079,10138,780,0.841937,0.247983,2,4
105100,0.722614,0.534545,5788,744,0.533434,0.371654,0.695953,0.519932,8019,793,0.683189,0.27023,0.686531,0.518859,9910,801,0.823002,0.248572,2,4
105100,0.727514,0.518792,5591,772,0.515278,0.343035,0.679257,0.519647,7842,825,0.66811,0.242302,0.685745,0.525307,9933,839,0.824912,0.237509,2,4
105100,0.742613,0.52957,5559,775,0.512329,0.356071,0.710916,0.526618,7910,828,0.673903,0.273604,0.703064,0.523143,10086,827,0.837618,0.269619,2,4
105100,0.713029,0.514509,5575,677,0.513803,0.341629,0.666831,0.520728,7951,728,0.677396,0.241815,0.655315,0.522576,10080,736,0.83712,0.231169,2,4
105100,0.720136,0.524112,5569,754,0.51325,0.329415,0.662183,0.527956,7936,786,0.676118,0.240266,0.661998,0.527533,9803,798,0.814116,0.22722,2,4
105100,0.711478,0.535996,5557,753,0.512144,0.338425,0.647876,0.526248,8034,803,0.684467,0.253378,0.646029,0.531376,10013,819,0.831556,0.234862,2,4
